iter	Passed	Remaining
0	0	45
1	0	48
2	1	47
3	1	42
4	2	43
5	3	55
6	3	52
7	4	49
8	4	47
9	5	45
10	5	43
11	5	42
12	6	41
13	6	40
14	7	40
15	7	39
16	7	38
17	8	37
18	8	36
19	8	35
20	9	34
21	9	34
22	10	33
23	10	33
24	10	32
25	11	32
26	11	31
27	12	31
28	12	30
29	12	29
30	13	29
31	13	29
32	14	28
33	14	28
34	15	28
35	15	27
36	16	27
37	16	26
38	16	26
39	17	26
40	18	25
41	18	25
42	18	24
43	19	24
44	19	24
45	20	23
46	20	23
47	21	22
48	21	22
49	21	21
50	22	21
51	22	21
52	23	20
53	24	20
54	24	19
55	24	19
56	25	19
57	25	18
58	26	18
59	26	17
60	27	17
61	27	16
62	28	16
63	28	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	14
69	31	13
70	32	13
71	33	12
72	33	12
73	34	12
74	34	11
75	35	11
76	35	10
77	36	10
78	36	9
79	37	9
80	37	8
81	38	8
82	38	7
83	39	7
84	39	7
85	40	6
86	40	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	45	1
97	45	0
98	46	0
99	46	0
