iter	Passed	Remaining
0	58	57978
1	58	29249
2	59	19652
3	59	14825
4	61	12215
5	62	10279
6	62	8879
7	62	7809
8	63	7000
9	64	6338
10	67	6096
11	68	5618
12	68	5214
13	69	4864
14	69	4581
15	70	4334
16	71	4106
17	71	3900
18	71	3715
19	72	3558
20	74	3474
21	74	3330
22	75	3198
23	75	3080
24	76	2971
25	76	2870
26	77	2784
27	77	2699
28	78	2626
29	79	2558
30	79	2486
31	80	2422
32	80	2361
33	80	2300
34	81	2249
35	82	2211
36	83	2162
37	83	2120
38	84	2081
39	85	2044
40	85	2002
41	86	1962
42	86	1923
43	86	1887
44	95	2024
45	98	2034
46	106	2150
47	106	2115
48	107	2079
49	107	2047
50	108	2015
51	109	1988
52	109	1957
53	109	1927
54	111	1917
55	111	1887
56	112	1860
57	112	1834
58	113	1814
59	114	1788
60	114	1764
61	115	1741
62	115	1719
63	116	1700
64	116	1680
65	117	1662
66	118	1648
67	118	1630
68	119	1618
69	120	1601
70	121	1583
71	122	1574
72	122	1558
73	123	1542
74	124	1530
75	124	1514
76	125	1498
77	125	1482
78	125	1467
79	126	1454
80	126	1439
81	127	1429
82	127	1413
83	128	1402
84	129	1389
85	129	1377
86	130	1367
87	130	1357
88	131	1346
89	132	1335
90	132	1324
91	133	1313
92	133	1303
93	134	1291
94	134	1280
95	134	1270
96	135	1259
97	135	1248
98	136	1237
99	136	1228
100	136	1218
101	137	1211
102	138	1203
103	138	1195
104	139	1186
105	139	1178
106	140	1171
107	140	1162
108	141	1154
109	141	1148
110	142	1141
111	143	1134
112	143	1128
113	144	1120
114	144	1115
115	145	1108
116	145	1101
117	146	1094
118	146	1087
119	147	1081
120	147	1074
121	148	1069
122	149	1063
123	149	1056
124	150	1050
125	150	1044
126	150	1037
127	151	1030
128	152	1026
129	152	1021
130	153	1016
131	153	1011
132	154	1005
133	154	999
134	155	994
135	155	989
136	156	985
137	156	980
138	157	974
139	157	969
140	158	965
141	158	959
142	159	955
143	160	951
144	160	947
145	161	942
146	161	938
147	162	933
148	162	928
149	163	924
150	163	920
151	164	916
152	164	911
153	165	906
154	165	902
155	166	898
156	166	895
157	167	894
158	168	891
159	169	887
160	169	883
161	170	879
162	170	875
163	170	871
164	171	867
165	171	863
166	172	860
167	172	856
168	173	852
169	173	848
170	174	845
171	175	842
172	175	838
173	176	835
174	176	832
175	177	829
176	177	825
177	178	822
178	178	819
179	179	816
180	179	812
181	179	808
182	180	805
183	180	802
184	181	799
185	181	796
186	182	793
187	183	791
188	183	788
189	184	785
190	184	782
191	185	779
192	185	777
193	186	774
194	187	772
195	187	770
196	188	767
197	188	764
198	189	762
199	189	759
200	190	758
201	191	756
202	192	754
203	192	751
204	193	748
205	193	745
206	194	743
207	194	740
208	195	738
209	195	736
210	196	733
211	196	731
212	197	728
213	197	726
214	198	724
215	198	721
216	199	719
217	199	717
218	200	715
219	200	712
220	201	710
221	202	708
222	202	705
223	203	703
224	203	701
225	204	699
226	204	697
227	205	694
228	205	692
229	206	690
230	206	688
231	207	686
232	207	684
233	208	681
234	208	679
235	209	677
236	209	674
237	210	672
238	210	670
239	211	668
240	211	666
241	212	664
242	212	662
243	213	660
244	213	658
245	214	656
246	215	655
247	215	653
248	215	651
249	216	648
250	216	647
251	217	645
252	218	643
253	218	641
254	218	639
255	219	637
256	219	635
257	220	633
258	220	631
259	221	629
260	222	628
261	222	626
262	223	625
263	223	623
264	224	621
265	224	619
266	225	618
267	225	616
268	226	614
269	226	612
270	227	611
271	227	609
272	228	608
273	228	606
274	229	604
275	229	603
276	230	601
277	231	600
278	231	598
279	232	596
280	232	595
281	233	593
282	233	591
283	234	590
284	234	588
285	235	586
286	235	585
287	236	583
288	236	582
289	237	580
290	237	578
291	238	577
292	238	575
293	238	573
294	239	572
295	239	570
296	240	568
297	240	567
298	241	565
299	241	563
300	242	562
301	242	561
302	243	559
303	243	557
304	244	556
305	244	554
306	245	553
307	245	551
308	246	550
309	246	548
310	247	547
311	247	546
312	248	544
313	248	543
314	249	542
315	249	540
316	250	538
317	250	537
318	251	536
319	251	534
320	252	533
321	252	531
322	253	530
323	253	529
324	254	528
325	257	531
326	257	530
327	258	529
328	258	528
329	259	526
330	259	525
331	260	523
332	260	522
333	261	521
334	262	520
335	262	519
336	263	517
337	263	516
338	264	515
339	265	515
340	265	513
341	267	514
342	267	512
343	268	511
344	268	509
345	269	508
346	269	507
347	270	506
348	270	504
349	271	503
350	271	502
351	272	501
352	272	499
353	273	498
354	273	497
355	274	495
356	274	494
357	275	493
358	275	492
359	276	491
360	276	489
361	277	488
362	277	487
363	278	486
364	278	485
365	279	483
366	279	482
367	280	481
368	280	480
369	281	479
370	281	478
371	282	477
372	283	476
373	283	475
374	284	473
375	284	472
376	285	471
377	285	469
378	286	468
379	286	467
380	287	466
381	287	464
382	287	463
383	288	462
384	288	461
385	289	460
386	289	458
387	290	457
388	290	456
389	291	455
390	291	454
391	292	453
392	292	452
393	293	451
394	293	450
395	294	449
396	295	448
397	295	447
398	296	446
399	296	444
400	297	443
401	297	442
402	298	441
403	298	440
404	299	439
405	299	438
406	300	437
407	300	436
408	301	435
409	301	434
410	302	433
411	302	432
412	303	431
413	304	430
414	304	429
415	305	428
416	305	427
417	306	426
418	307	425
419	307	424
420	308	423
421	308	422
422	309	422
423	309	421
424	310	419
425	310	419
426	311	417
427	311	416
428	312	415
429	312	414
430	313	413
431	313	412
432	314	411
433	314	410
434	315	409
435	315	408
436	316	407
437	317	406
438	317	405
439	318	404
440	318	403
441	319	403
442	320	402
443	320	401
444	321	400
445	322	400
446	322	398
447	322	397
448	323	396
449	323	395
450	324	395
451	325	394
452	325	393
453	326	392
454	326	391
455	326	390
456	327	388
457	327	387
458	328	386
459	329	386
460	329	385
461	329	384
462	331	383
463	332	384
464	333	383
465	334	382
466	334	381
467	335	381
468	335	380
469	336	379
470	336	378
471	337	377
472	337	376
473	338	375
474	338	374
475	339	373
476	339	372
477	340	371
478	340	370
